DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2015,1071.731,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2016,588.376,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2017,798.570,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2018,597.353,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2019,961.265,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2020,1785.409,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2021,816.557,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2022,945.837,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Belgium,2023,1405.455,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2014,250.283,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2015,171.390,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2016,51.113,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2017,108.228,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2018,202.927,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2019,252.090,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2020,135.830,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2021,41.947,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2022,911.283,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Bulgaria,2023,2104.852,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2014,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2015,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2016,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2017,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2018,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2019,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2020,0.000,,
