freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2015,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2016,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2017,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2018,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2019,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2020,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2021,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2022,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Cyprus,2023,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2014,42660.495,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2015,36469.693,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2016,37143.623,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2017,29525.179,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2018,24809.819,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2019,19490.182,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2020,14042.636,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2021,19562.196,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2022,17858.055,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Czechia,2023,14357.34,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2014,18187.985,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2015,16328.275,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2016,16298.114,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2017,17457.964,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2018,17363.786,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2019,17454.591,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2020,16445.558,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2021,19580.52,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2022,20919.374,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Germany,2023,16548.763,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2014,356.778,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2015,616.392,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2016,140.531,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2017,0.117,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2018,116.8,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Denmark,2019,318.875,16/12/24 23:00:00
